"name","parent","size","download_link"
"Anhui","China","37.2 MB","https://download.geofabrik.de/asia/china/anhui-latest.osm.pbf"
"Beijing","China","33.2 MB","https://download.geofabrik.de/asia/china/beijing-latest.osm.pbf"
"Chongqing","China","26.1 MB","https://download.geofabrik.de/asia/china/chongqing-latest.osm.pbf"
"Fujian","China","37.0 MB","https://download.geofabrik.de/asia/china/fujian-latest.osm.pbf"
"Gansu","China","46.8 MB","https://download.geofabrik.de/asia/china/gansu-latest.osm.pbf"
"Guangdong (with Hong Kong and Macau)","China","147 MB","https://download.geofabrik.de/asia/china/guangdong-latest.osm.pbf"
"Guangxi","China","43.2 MB","https://download.geofabrik.de/asia/china/guangxi-latest.osm.pbf"
"Guizhou","China","25.0 MB","https://download.geofabrik.de/asia/china/guizhou-latest.osm.pbf"
"Hainan","China","8.8 MB","https://download.geofabrik.de/asia/china/hainan-latest.osm.pbf"
"Hebei (with Beijing and Tianjin)","China","94 MB","https://download.geofabrik.de/asia/china/hebei-latest.osm.pbf"
"Heilongjiang","China","32.3 MB","https://download.geofabrik.de/asia/china/heilongjiang-latest.osm.pbf"
"Henan","China","42.1 MB","https://download.geofabrik.de/asia/china/henan-latest.osm.pbf"
"Hong Kong","China","34.3 MB","https://download.geofabrik.de/asia/china/hong-kong-latest.osm.pbf"
"Hubei","China","45.9 MB","https://download.geofabrik.de/asia/china/hubei-latest.osm.pbf"
"Hunan","China","43.4 MB","https://download.geofabrik.de/asia/china/hunan-latest.osm.pbf"
"Inner Mongolia","China","36.8 MB","https://download.geofabrik.de/asia/china/inner-mongolia-latest.osm.pbf"
"Jiangsu","China","69 MB","https://download.geofabrik.de/asia/china/jiangsu-latest.osm.pbf"
"Jiangxi","China","43.2 MB","https://download.geofabrik.de/asia/china/jiangxi-latest.osm.pbf"
"Jilin","China","21.7 MB","https://download.geofabrik.de/asia/china/jilin-latest.osm.pbf"
"Liaoning","China","23.1 MB","https://download.geofabrik.de/asia/china/liaoning-latest.osm.pbf"
"Macau","China","2.8 MB","https://download.geofabrik.de/asia/china/macau-latest.osm.pbf"
"Ningxia","China","7.5 MB","https://download.geofabrik.de/asia/china/ningxia-latest.osm.pbf"
"Qinghai","China","29.5 MB","https://download.geofabrik.de/asia/china/qinghai-latest.osm.pbf"
"Shaanxi","China","56 MB","https://download.geofabrik.de/asia/china/shaanxi-latest.osm.pbf"
"Shandong","China","62 MB","https://download.geofabrik.de/asia/china/shandong-latest.osm.pbf"
"Shanghai","China","23.2 MB","https://download.geofabrik.de/asia/china/shanghai-latest.osm.pbf"
"Shanxi","China","25.4 MB","https://download.geofabrik.de/asia/china/shanxi-latest.osm.pbf"
"Sichuan","China","94 MB","https://download.geofabrik.de/asia/china/sichuan-latest.osm.pbf"
"Tianjin","China","11.0 MB","https://download.geofabrik.de/asia/china/tianjin-latest.osm.pbf"
"Tibet","China","41.3 MB","https://download.geofabrik.de/asia/china/tibet-latest.osm.pbf"
"Xinjiang","China","41.8 MB","https://download.geofabrik.de/asia/china/xinjiang-latest.osm.pbf"
"Yunnan","China","79 MB","https://download.geofabrik.de/asia/china/yunnan-latest.osm.pbf"
"Zhejiang","China","80 MB","https://download.geofabrik.de/asia/china/zhejiang-latest.osm.pbf"
"East Timor","Asia","16.5 MB","https://download.geofabrik.de/asia/east-timor-latest.osm.pbf"
"GCC States","Asia","232 MB","https://download.geofabrik.de/asia/gcc-states-latest.osm.pbf"
"India","Asia","1.5 GB","https://download.geofabrik.de/asia/india-latest.osm.pbf"
"Central Zone","India","328 MB","https://download.geofabrik.de/asia/india/central-zone-latest.osm.pbf"
"Eastern Zone","India","226 MB","https://download.geofabrik.de/asia/india/eastern-zone-latest.osm.pbf"
"North-Eastern Zone","India","90 MB","https://download.geofabrik.de/asia/india/north-eastern-zone-latest.osm.pbf"
"Northern Zone","India","205 MB","https://download.geofabrik.de/asia/india/northern-zone-latest.osm.pbf"
"Southern Zone","India","516 MB","https://download.geofabrik.de/asia/india/southern-zone-latest.osm.pbf"
"Western Zone","India","191 MB","https://download.geofabrik.de/asia/india/western-zone-latest.osm.pbf"
"Indonesia (with East Timor)","Asia","1.6 GB","https://download.geofabrik.de/asia/indonesia-latest.osm.pbf"
"Java","Indonesia (with East Timor)","841 MB","https://download.geofabrik.de/asia/indonesia/java-latest.osm.pbf"
"Kalimantan","Indonesia (with East Timor)","138 MB","https://download.geofabrik.de/asia/indonesia/kalimantan-latest.osm.pbf"
"Maluku","Indonesia (with East Timor)","25.0 MB","https://download.geofabrik.de/asia/indonesia/maluku-latest.osm.pbf"
"Nusa-Tenggara","Indonesia (with East Timor)","162 MB","https://download.geofabrik.de/asia/indonesia/nusa-tenggara-latest.osm.pbf"
"Papua","Indonesia (with East Timor)","29.9 MB","https://download.geofabrik.de/asia/indonesia/papua-latest.osm.pbf"
"Sulawesi","Indonesia (with East Timor)","149 MB","https://download.geofabrik.de/asia/indonesia/sulawesi-latest.osm.pbf"
"Sumatra","Indonesia (with East Timor)","237 MB","https://download.geofabrik.de/asia/indonesia/sumatra-latest.osm.pbf"
"Iran","Asia","212 MB","https://download.geofabrik.de/asia/iran-latest.osm.pbf"
"Iraq","Asia","82 MB","https://download.geofabrik.de/asia/iraq-latest.osm.pbf"
"Israel and Palestine","Asia","113 MB","https://download.geofabrik.de/asia/israel-and-palestine-latest.osm.pbf"
"Japan","Asia","2.2 GB","https://download.geofabrik.de/asia/japan-latest.osm.pbf"
"ChÅ«bu region","Japan","446 MB","https://download.geofabrik.de/asia/japan/chubu-latest.osm.pbf"
"ChÅ«goku region","Japan","190 MB","https://download.geofabrik.de/asia/japan/chugoku-latest.osm.pbf"
"HokkaidÅ","Japan","175 MB","https://download.geofabrik.de/asia/japan/hokkaido-latest.osm.pbf"
"Kansai region (a.k.a. Kinki region)","Japan","306 MB","https://download.geofabrik.de/asia/japan/kansai-latest.osm.pbf"
"KantÅ region","Japan","426 MB","https://download.geofabrik.de/asia/japan/kanto-latest.osm.pbf"
"KyÅ«shÅ«","Japan","277 MB","https://download.geofabrik.de/asia/japan/kyushu-latest.osm.pbf"
"Shikoku","Japan","81 MB","https://download.geofabrik.de/asia/japan/shikoku-latest.osm.pbf"
"TÅhoku region","Japan","280 MB","https://download.geofabrik.de/asia/japan/tohoku-latest.osm.pbf"
"Jordan","Asia","29.1 MB","https://download.geofabrik.de/asia/jordan-latest.osm.pbf"
"Kazakhstan","Asia","197 MB","https://download.geofabrik.de/asia/kazakhstan-latest.osm.pbf"
"Kyrgyzstan","Asia","46.2 MB","https://download.geofabrik.de/asia/kyrgyzstan-latest.osm.pbf"
"Laos","Asia","49.4 MB","https://download.geofabrik.de/asia/laos-latest.osm.pbf"
"Lebanon","Asia","48.8 MB","https://download.geofabrik.de/asia/lebanon-latest.osm.pbf"
"Malaysia, Singapore, and Brunei","Asia","226 MB","https://download.geofabrik.de/asia/malaysia-singapore-brunei-latest.osm.pbf"
"Maldives","Asia","3.3 MB","https://download.geofabrik.de/asia/maldives-latest.osm.pbf"
"Mongolia","Asia","56 MB","https://download.geofabrik.de/asia/mongolia-latest.osm.pbf"
"Myanmar (a.k.a. Burma)","Asia","252 MB","https://download.geofabrik.de/asia/myanmar-latest.osm.pbf"
"Nepal","Asia","383 MB","https://download.geofabrik.de/asia/nepal-latest.osm.pbf"
"North Korea","Asia","80 MB","https://download.geofabrik.de/asia/north-korea-latest.osm.pbf"
"Pakistan","Asia","138 MB","https://download.geofabrik.de/asia/pakistan-latest.osm.pbf"
"Philippines","Asia","557 MB","https://download.geofabrik.de/asia/philippines-latest.osm.pbf"
"Russian Federation","Asia","3.7 GB","https://download.geofabrik.de/russia-latest.osm.pbf"
"Central Federal District","Russian Federation","804 MB","https://download.geofabrik.de/russia/central-fed-district-latest.osm.pbf"
"Crimean Federal District","Russian Federation","37.0 MB","https://download.geofabrik.de/russia/crimean-fed-district-latest.osm.pbf"
"Far Eastern Federal District","Russian Federation","340 MB","https://download.geofabrik.de/russia/far-eastern-fed-district-latest.osm.pbf"
"North Caucasus Federal District","Russian Federation","118 MB","https://download.geofabrik.de/russia/north-caucasus-fed-district-latest.osm.pbf"
"Northwestern Federal District","Russian Federation","590 MB","https://download.geofabrik.de/russia/northwestern-fed-district-latest.osm.pbf"
"Siberian Federal District","Russian Federation","540 MB","https://download.geofabrik.de/russia/siberian-fed-district-latest.osm.pbf"
"South Federal District","Russian Federation","281 MB","https://download.geofabrik.de/russia/south-fed-district-latest.osm.pbf"
"Ural Federal District","Russian Federation","362 MB","https://download.geofabrik.de/russia/ural-fed-district-latest.osm.pbf"
"Volga Federal District","Russian Federation","713 MB","https://download.geofabrik.de/russia/volga-fed-district-latest.osm.pbf"
"South Korea","Asia","250 MB","https://download.geofabrik.de/asia/south-korea-latest.osm.pbf"
"Sri Lanka","Asia","131 MB","https://download.geofabrik.de/asia/sri-lanka-latest.osm.pbf"
